10.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,16,3.63
7.5,1.5,4.5,1.5,7.5,1.5,7.5,4.5,12,4
13.5,1.5,1.5,1.5,4.5,1.5,1.5,10.5,15,3.4
1.5,1.5,4.5,1.5,1.5,4.5,1.5,1.5,13,3.09
4.5,4.5,1.5,4.5,1.5,1.5,1.5,7.5,15,3.93
1.5,1.5,1.5,1.5,1.5,1.5,4.5,1.5,12,4
1.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,14.5,3.7
1.5,1.5,4.5,1.5,4.5,4.5,1.5,7.5,15,3.82
1.5,1.5,4.5,1.5,1.5,1.5,1.5,4.5,17,4
4.5,4.5,4.5,1.5,1.5,1.5,4.5,7.5,14,3.5
4.5,1.5,1.5,1.5,4.5,4.5,1.5,10.5,15,3.8
10.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,16,3.7
1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,16,3.8
10.5,4.5,1.5,4.5,7.5,1.5,1.5,10.5,9,3.5
13.5,1.5,1.5,1.5,1.5,1.5,1.5,13.5,12.5,3.5
7.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,14,4
4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,14,4
18,4.5,1.5,1.5,18,1.5,1.5,18,14.5,2.42
1.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,13,3.9
4.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,15,3.8
7.5,1.5,1.5,1.5,4.5,4.5,1.5,1.5,14,3.8
4.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14,4
13.5,7.5,4.5,1.5,4.5,1.5,1.5,13.5,9,2.8
18,4.5,4.5,1.5,4.5,4.5,1.5,18,14,2.96
7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,12.5,2.7
18,10.5,1.5,1.5,10.5,1.5,1.5,13.5,12,3.8
13.5,10.5,7.5,1.5,4.5,1.5,1.5,1.5,13,3
4.5,4.5,4.5,1.5,1.5,1.5,1.5,7.5,14,3.4
7.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,15,3.8
7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15,3.76
7.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,14.5,3.78
10.5,1.5,1.5,1.5,13.5,4.5,13.5,4.5,12,3.1
7.5,1.5,1.5,1.5,10.5,1.5,7.5,10.5,14,3.8
4.5,1.5,1.5,1.5,7.5,7.5,1.5,1.5,14,3.87
18,10.5,10.5,10.5,10.5,10.5,10.5,18,15,3
4.5,7.5,1.5,1.5,1.5,1.5,1.5,4.5,15,3
7.5,7.5,4.5,1.5,7.5,7.5,7.5,18,13,3.3
7.5,1.5,1.5,1.5,1.5,1.5,4.5,1.5,9,3.6
13.5,7.5,1.5,1.5,1.5,1.5,1.5,4.5,17,4
18,18,18,1.5,13.5,13.5,1.5,7.5,15,3.5
4.5,1.5,1.5,1.5,4.5,4.5,1.5,4.5,15,3.3
4.5,4.5,1.5,1.5,4.5,4.5,1.5,4.5,17,3
1.5,4.5,4.5,1.5,1.5,1.5,1.5,18,14,3.2
1.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,13,3.9
18,4.5,1.5,1.5,4.5,4.5,1.5,7.5,16,3.6
18,1.5,1.5,1.5,10.5,4.5,1.5,4.5,14,2.8
1.5,1.5,1.5,1.5,1.5,4.5,1.5,1.5,17.5,3.8
1.5,1.5,1.5,1.5,7.5,1.5,1.5,4.5,10,2.8
1.5,1.5,1.5,1.5,1.5,18,1.5,1.5,15,3
10.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15,3.8
4.5,1.5,7.5,1.5,4.5,1.5,1.5,4.5,15,3.6
7.5,1.5,4.5,1.5,4.5,4.5,1.5,10.5,19,3.7
4.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,3,3.8
7.5,7.5,1.5,1.5,4.5,1.5,1.5,1.5,13,3.8
1.5,1.5,4.5,1.5,1.5,4.5,1.5,7.5,9.5,3.57
1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,9,3.4
4.5,1.5,1.5,1.5,1.5,1.5,1.5,7.5,15,3.2
18,4.5,7.5,1.5,1.5,1.5,10.5,18,13,3.3
18,1.5,1.5,1.5,18,1.5,1.5,18,13,2.9
4.5,4.5,7.5,1.5,4.5,1.5,10.5,10.5,15,3.8
1.5,1.5,1.5,1.5,1.5,4.5,10.5,4.5,9,3.16
1.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,9,1.7
7.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,12,3.5
13.5,1.5,4.5,1.5,1.5,4.5,1.5,18,14,3.4
10.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,3.5
4.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,14,4
1.5,1.5,1.5,1.5,4.5,1.5,1.5,7.5,11,3.65
1.5,4.5,4.5,1.5,1.5,1.5,1.5,4.5,12,3.5
4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,14,3.8
1.5,4.5,1.5,1.5,1.5,1.5,1.5,4.5,12,3
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14,3.7
13.5,4.5,13.5,1.5,1.5,1.5,18,4.5,15,3.95
7.5,1.5,1.5,1.5,1.5,1.5,1.5,10.5,15,3.85
